,0
0,NOC2L
1,ISG15
2,SDF4
3,UBE2J2
4,CPSF3L
5,AURKAIP1
6,MRPL20
7,SSU72
8,MIB2
9,NADK
10,GNB1
11,RER1
12,TNFRSF14
13,KCNAB2
14,RPL22
15,CAMTA1
16,VAMP3
17,ENO1
18,PIK3CD
19,CTNNBIP1
20,LZIC
21,RBP7
22,PGD
23,TARDBP
24,FBXO6
25,MAD2L2
26,AGTRAP
27,MIIP
28,TNFRSF1B
29,PRDM2
30,EFHD2
31,SPEN
32,SZRD1
33,NECAP2
34,SDHB
35,UBR4
36,CAPZB
37,MINOS1
38,CDA
39,HP1BP3
40,USP48
41,CDC42
42,C1QA
43,C1QB
44,RPL11
45,LYPLA2
46,PNRC2
47,SRSF10
48,SYF2
49,TMEM50A
50,STMN1
51,ZNF593
52,SH3BGRL3
53,UBXN11
54,CD52
55,HMGN2
56,RPS6KA1
57,ARID1A
58,WASF2
59,FGR
60,IFI6
61,STX12
62,THEMIS2
63,RPA2
64,PTAFR
65,DNAJC8
66,TAF12
67,YTHDF2
68,SRSF4
69,LAPTM5
70,PUM1
71,SNRNP40
72,ZCCHC17
73,PTP4A2
74,KHDRBS1
75,EIF3I
76,LCK
77,HDAC1
78,ZBTB8OS
79,RBBP4
80,AK2
81,SMIM12
82,SFPQ
83,PSMB2
84,TRAPPC3
85,MAP7D1
86,LSM10
87,MRPS15
88,CSF3R
89,C1orf122
90,UTP11L
91,RRAGC
92,MACF1
93,PPIE
94,CAP1
95,PPT1
96,SMAP2
97,NFYC
98,PPCS
99,YBX1
100,ATP6V0B
101,RPS8
102,PRDX1
103,AKR1A1
104,GPBP1L1
105,EFCAB14
106,CMPK1
107,EPS15
108,TXNDC12
109,BTF3L4
110,C1orf123
111,HSPB11
112,TMEM59
113,TM2D1
114,USP1
115,LEPROT
116,MIER1
117,SERBP1
118,SRSF11
119,RABGGTB
120,USP33
121,FUBP1
122,GNG5
123,CTBS
124,C1orf52
125,SH3GLB1
126,LMO4
127,GTF2B
128,GBP1
129,GBP2
130,MTF2
131,TMED5
132,DR1
133,DPYD
134,RTCA
135,SLC25A24
136,PRPF38B
137,STXBP3
138,TMEM167B
139,PSMA5
140,GNAI3
141,LAMTOR5
142,CD53
143,DRAM2
144,CEPT1
145,DENND2D
146,ATP5F1
147,C1orf162
148,RAP1A
149,CAPZA1
150,RHOC
151,CSDE1
152,ATP1A1
153,CD58
154,CD2
155,MAN1A2
156,NOTCH2
157,FCGR1B
158,RNF115
159,RBM8A
160,POLR3GL
161,TXNIP
162,FCGR1A
163,MTMR11
164,PLEKHO1
165,APH1A
166,MRPS21
167,MCL1
168,ENSA
169,CTSS
170,C1orf56
171,TNFAIP8L2
172,PSMD4
173,PSMB4
174,SNX27
175,S100A10
176,S100A11
177,S100A9
178,S100A12
179,S100A8
180,S100A6
181,S100A4
182,CHTOP
183,SNAPIN
184,ILF2
185,SLC27A3
186,SLC39A1
187,JTB
188,RPS27
189,TPM3
190,C1orf43
191,HAX1
192,IL6R
193,ADAR
194,PMVK
195,DPM3
196,KRTCAP2
197,MTX1
198,FDPS
199,ASH1L
200,DAP3
201,ARHGEF2
202,SSR2
203,LAMTOR2
204,PMF1
205,HDGF
206,CD1D
207,MNDA
208,IFI16
209,FCER1A
210,DUSP23
211,TAGLN2
212,COPA
213,NCSTN
214,CD84
215,CD48
216,TSTD1
217,ARHGAP30
218,UFC1
219,FCER1G
220,FCGR2A
221,UHMK1
222,MGST3
223,ALDH9A1
224,TMCO1
225,CREG1
226,RCSD1
227,MPC2
228,SFT2D2
229,SELL
230,PRRC2C
231,PRDX6
232,RC3H1
233,MRPS14
234,RFWD2
235,SOAT1
236,TOR1AIP2
237,TOR1AIP1
238,CEP350
239,QSOX1
240,IER5
241,GLUL
242,NPL
243,DHX9
244,NCF2
245,ARPC5
246,FAM129A
247,IVNS1ABP
248,RGS18
249,RGS2
250,TROVE2
251,CDC73
252,PTPRC
253,TIMM17A
254,RNPEP
255,RABIF
256,ADIPOR1
257,BTG2
258,SNRPE
259,MDM4
260,RAB29
261,RASSF5
262,CD55
263,CD46
264,TRAF3IP3
265,LPGAT1
266,PPP2R5A
267,NENF
268,BATF3
269,NSL1
270,IARS2
271,BROX
272,CAPN2
273,DEGS1
274,CNIH4
275,WDR26
276,LBR
277,H3F3A
278,ARF1
279,C1orf35
280,MRPL55
281,GUK1
282,RNF187
283,C1orf131
284,GNPAT
285,RP11-295G20.2
286,TSNAX
287,COA6
288,IRF2BP2
289,TOMM20
290,ARID4B
291,LYST
292,LGALS8
293,OPN3
294,SDCCAG8
295,ADSS
296,COX20
297,HNRNPU
298,ACP1
299,RPS7
300,ID2
301,KIDINS220
302,ITGB1BP1
303,IAH1
304,ADAM17
305,YWHAQ
306,HPCAL1
307,ODC1
308,PDIA6
309,PQLC3
310,FAM49A
311,LAPTM4A
312,PUM2
313,RHOB
314,SF3B6
315,ITSN2
316,RAB10
317,HADHA
318,HADHB
319,SLC35F6
320,OST4
321,MPV17
322,SNX17
323,PPM1G
324,NRBP1
325,MRPL33
326,FOSL2
327,PPP1CB
328,YPEL5
329,DPY30
330,YIPF4
331,BIRC6
332,EIF2AK2
333,CEBPZOS
334,CDC42EP3
335,CYP1B1
336,SLC8A1
337,EML4
338,COX7A2L
339,ZFP36L2
340,PPM1B
341,RHOQ
342,PIGF
343,CRIPT
344,ERLEC1
345,RTN4
346,RPS27A
347,CCDC88A
348,BCL11A
349,REL
350,USP34
351,XPO1
352,CCT4
353,MDH1
354,UGP2
355,AFTPH
356,RAB1A
357,ACTR2
358,C1D
359,PLEK
360,ARHGAP25
361,NFU1
362,AAK1
363,ANXA4
364,SNRNP27
365,MXD1
366,PCBP1
367,SNRPG
368,NAGK
369,ZNF638
370,DGUOK
371,MOB1A
372,MTHFD2
373,AUP1
374,DOK1
375,POLE4
