Channel1,Channel2,Channel3,Channel4,Channel5,Channel6,Channel7,Channel8
GNB1,MIIP,MIB2,NADK,NADK,KCNAB2,MIIP,KCNAB2
KCNAB2,UBR4,FBXO6,GNB1,GNB1,C1QB,C1QB,TNFRSF1B
RBP7,C1QB,KHDRBS1,MIIP,MIIP,ARID1A,PNRC2,RPS6KA1
MAD2L2,TM2D1,CSF3R,C1QA,C1QA,RPA2,CD52,IFI6
MIIP,GTF2B,PPIE,C1QB,STMN1,MACF1,IFI6,RPA2
TNFRSF1B,RHOC,AKR1A1,RPS6KA1,KHDRBS1,AKR1A1,RBBP4,PTAFR
UBR4,FCGR1B,USP1,WASF2,RABGGTB,USP1,MACF1,RRAGC
C1QA,FCGR1A,GTF2B,SMAP2,USP33,TMED5,PPIE,AKR1A1
C1QB,S100A9,TMED5,LEPROT,GTF2B,PSMA5,LEPROT,USP33
YTHDF2,S100A12,CEPT1,GTF2B,TMED5,FCGR1B,GBP2,TMED5
TRAPPC3,NCSTN,FCGR1B,PSMA5,RHOC,CHTOP,GNAI3,DENND2D
MACF1,MGST3,FCGR1A,RHOC,MAN1A2,SLC27A3,RHOC,FCGR1B
MAN1A2,RC3H1,S100A12,MAN1A2,FCGR1B,CD1D,FCGR1B,S100A12
FCGR1B,TOR1AIP2,CD1D,FCER1A,TNFAIP8L2,COPA,S100A8,FDPS
ENSA,LGALS8,NCSTN,GLUL,S100A12,TSTD1,HDGF,HDGF
S100A9,SLC35F6,TSTD1,IVNS1ABP,HDGF,SELL,CD1D,CD1D
TAGLN2,FOSL2,MDM4,RGS18,FCER1A,RC3H1,CD84,UHMK1
RC3H1,DPY30,CYP1B1,BTG2,COPA,TOR1AIP1,CREG1,FAM129A
RFWD2,CYP1B1,CCT4,LPGAT1,CD84,GLUL,NPL,IARS2
NPL,EML4,PLEK,PPP2R5A,TSTD1,LPGAT1,RP11-295G20.2,WDR26
FAM129A,NFU1,AAK1,IARS2,TOR1AIP2,IARS2,TSNAX,MPV17
MDM4,AAK1,ANXA4,DEGS1,TOR1AIP1,DEGS1,LGALS8,YIPF4
CD55,CAPG,MOB1A,RP11-295G20.2,SNRPE,RP11-295G20.2,KIDINS220,CYP1B1
RP11-295G20.2,IGKC,IGKC,TSNAX,WDR26,TSNAX,RHOB,SLC8A1
TOMM20,LINC00116,MAP4K4,LGALS8,RP11-295G20.2,TOMM20,FOSL2,PLEK
KIDINS220,CYTIP,LINC00116,CYP1B1,LGALS8,SLC35F6,CYP1B1,ARHGAP25
MPV17,WIPF1,CYTIP,SLC8A1,RHOB,MPV17,SLC8A1,SNRNP27
DPY30,STAT1,OLA1,CRIPT,SLC8A1,ERLEC1,EML4,MXD1
PPM1B,HSPD1,STAT1,C1D,EML4,PLEK,MXD1,DOK1
ERLEC1,MTERF4,HSPD1,ZNF638,CRIPT,AAK1,SUCLG1,CAPG
NAGK,THUMPD3-AS1,PPIL3,IMMT,PLEK,NAGK,C2orf68,C2orf68
RNF149,CAMK1,GPBAR1,IGKC,CAPG,MTHFD2,SLC20A1,GNLY
SLC20A1,DPH3,TUBA4A,CXCR4,IGKC,DOK1,KYNU,IGKC
MARCO,AZI2,MTERF4,KYNU,COA5,CAPG,CIR1,MRPS5
ARL6IP6,SHISA5,HDLBP,DYNC1I2,RNF149,VAMP5,MRPL44,RNF149
WIPF1,GNL3,SEPT2,OLA1,SLC20A1,IMMT,AGFG1,SLC20A1
NBEAL1,PPP4R2,DPH3,NFE2L2,MARCO,IGKC,ITM2C,MARCO
PNKD,MBD4,AZI2,DNAJC10,BIN1,RNF149,EIF4E2,METTL5
CTDSP1,NUDT16,DYNC1LI1,CFLAR,KYNU,CXCR4,CX3CR1,DYNC1I2
SP100,ANAPC13,PDCD6IP,GPBAR1,ARL6IP6,PPIL3,DHX30,FAM134A
INPP5D,MAP3K13,NKTR,TUBA4A,CTDSP1,NBEAL1,PPP4R2,THUMPD3-AS1
AZI2,LPP,NBEAL2,CUL3,TUBA4A,TUBA4A,NFKBIZ,UBE2E2
TGFBR2,GRPEL1,ARIH2,DPH3,CAB39,SP100,BBX,SS18L2
CTNNB1,BOD1L1,WDR82,ARIH2,RNPEPL1,ITM2C,PARP14,OSBPL11
RASSF1,TMEM33,STAB1,IMPDH2,SEPT2,SH3BP5,RAP2B,MBD4
STAB1,HOPX,NFKBIZ,WDR82,CAMK1,UBE2E2,EIF4G1,NDUFB5
BBX,REST,BBX,STAB1,TADA3,GOLGA4,C4orf48,BCL6
GYG1,CCNG2,NAA50,GYG1,SH3BP5,CTNNB1,TNIP2,GRPEL1
BCL6,TLR2,NDUFB4,WDR1,NGLY1,SS18L2,FRYL,FBXL5
LAP3,TMA16,ANAPC13,LAP3,CMC1,NKTR,IGFBP7,LAP3
DHX15,RWDD4,MAP3K13,DHX15,GOLGA4,CCR2,ADH5,CCNG2
FRYL,ACSL1,CTBP1,SMIM20,CCR2,TEX264,MANBA,PLAC8
ZNF330,ERBB2IP,HOPX,NAAA,NBEAL2,FAM208A,MGST2,MANBA
ACSL1,NAIP,PLAC8,SCARB2,DHX30,NFKBIZ,SH3D19,SH3D19
PTGER4,BDP1,PAPSS1,ADH5,ARIH2,MAP3K13,TLR2,TMA16
ANXA2R,PPIP5K2,MGST2,AIMP1,GNL3,NRROS,FAM198B,DAP
DHX29,COMMD10,TLR2,PAPSS1,NDUFB4,SMIM20,ANXA2R,ERBB2IP
BDP1,DDX46,IRF2,TMA16,NRROS,TMEM33,BDP1,BDP1
POLK,TXNDC15,ACSL1,ANXA2R,C4orf48,FRYL,COL4A3BP,LNPEP
AGGF1,EGR1,DAP,ATG10,PPM1K,CCNG2,PPIP5K2,ST8SIA4
PPIP5K2,CXXC5,PTGER4,CAST,ZNF330,PLAC8,COMMD10,SNX2
HSPA4,DIAPH1,ST8SIA4,LNPEP,TLR2,ADH5,HINT1,DDX46
TXNDC15,RNF145,CXXC5,ATG12,PTGER4,MANBA,VDAC1,MZB1
TMEM173,UBLCP1,CYSTM1,HINT1,TTC37,ZNF330,TXNDC15,CXXC5
DIAPH1,RARS,CD14,FNIP1,COMMD10,ACSL1,ETF1,DIAPH1
CD74,DOCK2,ZMAT2,VDAC1,ETF1,LNPEP,TMEM173,ARHGAP26
